442,30,28,은_Josa 뿐_Suffix 방법_Noun 역시_Noun 크크_Exclamation 자살_Noun
442,111,19,사냐_Verb 서_Josa 시발_Noun 왜_Noun 걍_Adverb 고_Eomi 고_Eomi 고_Josa 깨물_Verb 저기_Noun 자살_Noun 하라_Noun 혀_Noun
446,99,21,을_Josa 은_Josa 위해_Noun 없이_Adverb 에게_Josa 안_VerbPrefix 어_Eomi 아_Exclamation 보내_Verb 보험금_Noun 까지_Josa 기_Eomi 남기_Verb 가족_Noun 고통_Noun 라_Josa 자살_Noun 했_Verb 좋_Adjective 지금_Noun 줘_Eomi
459,195,23,이_Noun 친구_Noun 자살_Noun 야_Josa 안된_Verb 은_Josa 대도_Noun
465,83,21,없는_Adjective 유_Noun 싶은_Verb 없이_Adverb 데_Eomi 게_Noun 고통_Noun 가고_Verb 감_Noun 이네_Josa 총_Noun 이_Josa
471,84,25,자살_Noun 해_Noun 자살하지_Verb 그만_Adverb 마_Noun
476,169,25,그만_Adverb 자살_Noun
477,19,22 22,증가_Noun 자살_Noun 율_Noun
477,115,19,서_Eomi 못_Noun 무슨_Noun 염병_Noun 옆_Noun 에_Josa 에_Josa 분_Noun 불륜_Noun 을_Josa 아내_Noun 시도_Noun 들이킨_Noun 때문_Noun 나_Eomi 그냥_Noun 거_Noun 겠지_Verb 농약_Noun 는_Josa 넘_Verb 있던_Adjective 지_Verb 참아_Verb 자살_Noun
482,166,19,거_Noun 들이킨_Noun 때문_Noun 겠지_Verb 그냥_Noun 나_Eomi 는_Josa 넘_Verb 농약_Noun 자살_Noun 있던_Adjective 참아_Verb 지_Verb 시도_Noun 아내_Noun 불륜_Noun 분_Noun 무슨_Noun 못_Noun 서_Eomi 을_Josa 에_Josa 에_Josa 염병_Noun 옆_Noun
485,43,28,돌아오는_Verb 고_Josa 고_Josa 건_Noun 기억해_Verb 님들_Noun 답_Noun 록_Noun 록_Noun 록_Noun 에_Josa 뿐_Suffix 자해_Noun 자살_Noun 자살_Noun
485,55,28,자해_Noun 자살_Noun 자살_Noun 록_Noun 록_Noun 록_Noun 기억해_Verb 돌아오는_Verb 건_Noun 답_Noun 님들_Noun 고_Josa 고_Josa 뿐_Suffix 에_Josa
493,1,28,면_Eomi 을_Eomi 을_Eomi 을_Josa 와_Josa 수_Noun 겪_Verb 가_Josa 로_Josa 로맨틱_Noun 동반_Noun 터지_Verb 터_Noun 지구_Noun 지구_Noun 죽음_Noun 자신_Noun 인데_Josa 있_Adjective 하는_Verb 함께_Adverb 한_Josa 자살_Noun 의지_Noun 의_Josa
500,142,21,사망_Noun 에서도_Josa 올_Verb 본격_Noun 되는_Verb 날_Noun 까_Eomi 논의_Noun 곧_Noun 의사_Noun 이_Josa 이_Noun 자살_Noun 조력_Noun 조력_Noun 한국_Noun
500,157,21,사망_Noun 올_Verb 에서도_Josa 본격_Noun 곧_Noun 되는_Verb 논의_Noun 까_Eomi 날_Noun 조력_Noun 조력_Noun 자살_Noun 한국_Noun 이_Josa 의사_Noun 이_Noun
501,1,21,개념_Noun 군_Noun 자살_Noun 이_Josa 정말_Noun 조력_Noun 한_Josa 생소_Noun
502,0,21,사례_Noun 조력_Noun 있_Adjective 자살_Noun 가_Josa 나_Eomi
522,123,19,적당한_Adjective 제습_Noun 핀_Noun 하자_Noun 해도_Noun 주변_Noun 쫒_Verb 자살_Noun 자리_Noun 이용해_Verb 혀_Noun 처_Noun 춤추며_Verb 퇴로_Noun 을_Josa 을_Josa 으니_Eomi 에_Josa 에서_Josa 오니_Noun 엔_Josa 세법_Noun 소용없_Adjective 생각_Noun 식_Suffix 아_Exclamation 넬_Noun 고_Eomi 라도_Josa 를_Josa 둔기_Noun 도망갈_Verb 돌_Noun 깨물_Verb 그_Noun 그_Noun 대가리_Noun
